n,seed,lambda,iteration,marginal_violation
200,1200,0.01,10400,9.95383485742369e-06
200,1200,0.01,10425,9.925900021648393e-06
200,1200,0.01,10450,9.89812064859652e-06
200,1200,0.01,10475,9.870495452580369e-06
200,1200,0.01,10500,9.843023149980895e-06
200,1200,0.01,10525,9.815702484289313e-06
200,1200,0.01,10550,9.788532192469938e-06
200,1200,0.01,10575,9.761511053320814e-06
200,1200,0.01,10600,9.734637835397304e-06
200,1200,0.01,10625,9.707911333351957e-06
200,1200,0.01,10650,9.68133034751767e-06
200,1200,0.01,10675,9.65489370915052e-06
200,1200,0.01,10700,9.62860022333048e-06
200,1200,0.01,10725,9.602448754557e-06
200,1200,0.01,10750,9.576438134321213e-06
200,1200,0.01,10775,9.550567255802757e-06
200,1200,0.01,10800,9.524834977770423e-06
200,1200,0.01,10825,9.499240208606097e-06
200,1200,0.01,10850,9.473781830426214e-06
200,1200,0.01,10875,9.448458775439088e-06
200,1200,0.01,10900,9.423269955696409e-06
200,1200,0.01,10925,9.398214318005922e-06
200,1200,0.01,10950,9.373290811065353e-06
200,1200,0.01,10975,9.348498388018524e-06
200,1200,0.01,11000,9.32383601662777e-06
200,1200,0.01,11025,9.299302693583679e-06
200,1200,0.01,11050,9.274897383860017e-06
200,1200,0.01,11075,9.25061911813841e-06
200,1200,0.01,11100,9.226466891520436e-06
200,1200,0.01,11125,9.202439730625865e-06
200,1200,0.01,11150,9.178536669031574e-06
200,1200,0.01,11175,9.1547567513681e-06
200,1200,0.01,11200,9.13109902024329e-06
200,1200,0.01,11225,9.107562542441834e-06
200,1200,0.01,11250,9.084146394227818e-06
200,1200,0.01,11275,9.060849655917642e-06
200,1200,0.01,11300,9.037671413355403e-06
200,1200,0.01,11325,9.014610767331573e-06
200,1200,0.01,11350,8.991666822550162e-06
200,1200,0.01,11375,8.968838706323833e-06
200,1200,0.01,11400,8.946125538350676e-06
200,1200,0.01,11425,8.92352645727023e-06
200,1200,0.01,11450,8.901040600911049e-06
200,1200,0.01,11475,8.87866713106776e-06
200,1200,0.01,11500,8.856405192140052e-06
200,1200,0.01,11525,8.834253972083046e-06
200,1200,0.01,11550,8.812212631860439e-06
200,1200,0.01,11575,8.790280373947856e-06
200,1200,0.01,11600,8.768456376853119e-06
200,1200,0.01,11625,8.746739846303593e-06
200,1200,0.01,11650,8.725129993605515e-06
200,1200,0.01,11675,8.703626036947638e-06
200,1200,0.01,11700,8.682227194311415e-06
200,1200,0.01,11725,8.660932703969358e-06
200,1200,0.01,11750,8.639741806135137e-06
200,1200,0.01,11775,8.618653745442496e-06
200,1200,0.01,11800,8.597667772184715e-06
200,1200,0.01,11825,8.576783151913701e-06
200,1200,0.01,11850,8.555999141980457e-06
200,1200,0.01,11875,8.535315038250314e-06
200,1200,0.01,11900,8.514730115323499e-06
200,1200,0.01,11925,8.49424364964338e-06
200,1200,0.01,11950,8.473854950962617e-06
200,1200,0.01,11975,8.453563323184386e-06
200,1200,0.01,12000,8.433368064047521e-06
200,1200,0.01,12025,8.413268493395569e-06
200,1200,0.01,12050,8.39326394086893e-06
200,1200,0.01,12075,8.373353730666173e-06
200,1200,0.01,12100,8.353537189086623e-06
200,1200,0.01,12125,8.333813672805473e-06
200,1200,0.01,12150,8.314182521658095e-06
200,1200,0.01,12175,8.2946430774479e-06
200,1200,0.01,12200,8.275194717428241e-06
200,1200,0.01,12225,8.25583680473356e-06
200,1200,0.01,12250,8.23656869783189e-06
200,1200,0.01,12275,8.217389789810271e-06
200,1200,0.01,12300,8.198299441608721e-06
200,1200,0.01,12325,8.179297071666397e-06
200,1200,0.01,12350,8.160382050364547e-06
200,1200,0.01,12375,8.141553779810774e-06
200,1200,0.01,12400,8.122811677133655e-06
200,1200,0.01,12425,8.104155137658026e-06
200,1200,0.01,12450,8.085583594640185e-06
200,1200,0.01,12475,8.067096447648102e-06
200,1200,0.01,12500,8.04869314225548e-06
200,1200,0.01,12525,8.03037310344746e-06
200,1200,0.01,12550,8.012135760202509e-06
200,1200,0.01,12575,7.993980559954823e-06
200,1200,0.01,12600,7.975906961360524e-06
200,1200,0.01,12625,7.957914393777119e-06
200,1200,0.01,12650,7.940002336078063e-06
200,1200,0.01,12675,7.922170227529605e-06
200,1200,0.01,12700,7.904417559352096e-06
200,1200,0.01,12725,7.88674376639778e-06
200,1200,0.01,12750,7.86914836158753e-06
200,1200,0.01,12775,7.85163080618042e-06
200,1200,0.01,12800,7.834190593149735e-06
200,1200,0.01,12825,7.816827201195461e-06
200,1200,0.01,12850,7.799540130608816e-06
200,1200,0.01,12875,7.78232888315293e-06
200,1200,0.01,12900,7.765192953601736e-06
200,1200,0.01,12925,7.748131856099953e-06
200,1200,0.01,12950,7.731145101701024e-06
200,1200,0.01,12975,7.714232190975459e-06
200,1200,0.01,13000,7.697392665352576e-06
200,1200,0.01,13025,7.680626031878607e-06
200,1200,0.01,13050,7.663931834690774e-06
200,1200,0.01,13075,7.647309584773998e-06
200,1200,0.01,13100,7.630758841587447e-06
200,1200,0.01,13125,7.614279125416762e-06
200,1200,0.01,13150,7.597869998263347e-06
200,1200,0.01,13175,7.581530986584123e-06
200,1200,0.01,13200,7.565261654710227e-06
200,1200,0.01,13225,7.549061559247207e-06
200,1200,0.01,13250,7.53293025578753e-06
200,1200,0.01,13275,7.516867315788579e-06
200,1200,0.01,13300,7.500872285879506e-06
200,1200,0.01,13325,7.484944755107789e-06
200,1200,0.01,13350,7.469084291703357e-06
200,1200,0.01,13375,7.4532904707500305e-06
200,1200,0.01,13400,7.4375628790991286e-06
200,1200,0.01,13425,7.421901089866428e-06
200,1200,0.01,13450,7.4063047064056725e-06
200,1200,0.01,13475,7.390773305978628e-06
200,1200,0.01,13500,7.375306495261032e-06
200,1200,0.01,13525,7.359903864649978e-06
200,1200,0.01,13550,7.344565017208642e-06
200,1200,0.01,13575,7.329289556667201e-06
200,1200,0.01,13600,7.314077099859935e-06
